X1,X2,X3,X4,X5,Y
79,64,0.43,14.32,0.0,69.0
70,59,0.81,11.41,0.0,67.0
60,31,2.29,10.29,0.0,49.0
44,26,0.0,3.36,0.0,34.0
59,30,0.0,4.92,0.0,41.0
59,37,0.0,4.7,0.0,47.0
52,27,0.0,8.05,0.0,42.0
42,21,0.0,3.8,0.0,30.0
66,37,0.62,9.17,0.0,45.0
53,34,0.0,5.14,0.0,47.0
41,27,0.0,3.36,0.0,35.0
53,25,0.0,6.26,0.0,35.0
53,27,0.0,1.57,0.0,40.0
56,37,0.0,3.58,0.0,45.0
40,28,0.0,5.82,0.0,36.0
38,25,1.22,12.3,0.0,31.0
42,33,0.0,12.97,0.0,36.0
49,25,0.0,3.36,0.0,36.0
60,28,0.0,7.83,0.0,40.0
50,30,0.34,8.28,0.0,47.0
30,22,0.15,10.74,1.5,29.0
35,19,0.06,3.8,0.8,25.0
47,17,0.0,4.03,0.0,28.0
52,27,0.0,4.25,0.0,38.0
61,35,0.0,2.91,0.0,45.0
42,28,0.0,8.5,0.0,38.0
43,20,0.0,2.68,0.0,31.0
48,26,0.0,2.91,0.0,35.0
36,25,0.05,8.72,0.4,34.0
44,15,0.0,4.25,0.0,29.0
53,22,0.0,2.68,0.0,35.0
52,28,0.0,4.25,0.0,37.0
60,25,0.0,3.13,0.0,41.0
70,48,0.02,9.62,0.0,56.0
67,47,0.3,15.21,0.0,65.0
47,27,0.0,6.49,0.0,43.0
44,23,0.0,6.49,0.0,32.0
37,32,0.53,5.59,0.0,34.0
50,33,0.0,2.91,0.0,40.0
60,28,0.0,3.58,0.0,42.0
67,33,0.0,7.38,0.0,49.0
70,36,0.0,8.28,0.0,53.0
73,44,0.0,8.28,0.0,58.0
54,32,0.0,6.71,0.0,49.0
50,27,0.0,3.36,0.0,37.0
53,23,0.0,3.8,0.0,37.0
67,33,0.0,8.28,0.0,46.0
75,53,0.0,13.2,0.0,62.0
71,38,0.16,11.18,0.0,65.0
60,28,0.0,5.59,0.0,44.0
54,26,0.0,5.37,0.0,41.0
71,32,0.0,3.58,0.0,48.0
73,59,0.0,11.41,0.0,64.0
71,55,0.09,4.92,0.0,65.0
57,42,0.04,8.05,0.0,53.0
69,42,0.01,5.37,0.0,49.0
48,40,0.02,5.82,0.0,46.0
46,36,0.19,3.13,0.0,43.0
60,32,0.0,4.47,0.0,44.0
68,32,0.0,4.03,0.0,49.0
76,42,0.0,5.14,0.0,57.0
84,46,0.0,7.38,0.0,63.0
60,41,0.0,6.93,0.0,53.0
70,45,0.0,6.04,0.0,55.0
81,62,0.0,14.32,0.0,69.0
82,63,0.11,18.34,0.0,72.0
63,49,0.39,5.82,0.0,61.0
52,45,0.42,4.47,0.0,49.0
49,43,0.05,7.16,0.0,46.0
61,45,0.06,3.36,0.0,48.0
60,28,1.01,10.29,0.0,49.0
52,23,0.0,8.28,0.0,34.0
67,32,0.0,3.8,0.0,48.0
71,39,0.0,4.7,0.0,55.0
72,48,0.65,4.7,0.0,58.0
70,55,0.55,5.14,0.0,59.0
77,48,0.0,7.16,0.0,63.0
79,61,0.0,16.11,0.0,68.0
67,46,0.0,7.61,0.0,62.0
71,34,0.0,4.25,0.0,54.0
76,47,0.0,8.05,0.0,60.0
74,59,0.13,9.84,0.0,65.0
73,59,0.47,11.63,0.0,69.0
70,52,0.0,8.05,0.0,61.0
62,44,0.0,8.05,0.0,54.0
60,34,0.0,7.61,0.0,48.0
61,29,0.0,7.61,0.0,46.0
55,30,0.0,3.8,0.0,42.0
75,40,0.0,8.05,0.0,53.0
73,65,0.72,16.11,0.0,69.0
69,46,0.0,9.62,0.0,64.0
66,35,0.0,3.8,0.0,51.0
70,46,0.0,5.82,0.0,58.0
68,38,0.0,6.26,0.0,54.0
76,52,0.36,8.5,0.0,63.0
81,61,0.0,9.17,0.0,68.0
80,54,0.05,8.5,0.0,71.0
68,49,0.16,7.38,0.0,57.0
56,45,0.0,6.93,0.0,53.0
64,39,0.0,7.83,0.0,50.0
82,43,0.0,7.38,0.0,60.0
